name,price,sizeInCm,sizeInInch
"POCO F6 5G (Black, 256 GB)","₹31,999
₹35,99911% off","12 GB RAM | 256 GB ROM
16.94 cm (6.67 inch) Display
50MP (OIS) + 8MP | 20MP Front Camera
5000 mAh Battery
8s Gen3 Processor
1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories","12 GB RAM | 256 GB ROM
16.94 cm (6.67 inch) Display
50MP (OIS) + 8MP | 20MP Front Camera
5000 mAh Battery
8s Gen3 Processor
1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories"
"POCO F6 5G (Titanium, 256 GB)","₹29,999
₹33,99911% off","8 GB RAM | 256 GB ROM
16.94 cm (6.67 inch) Display
50MP (OIS) + 8MP | 20MP Front Camera
5000 mAh Battery
8s Gen3 Processor
1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories","8 GB RAM | 256 GB ROM
16.94 cm (6.67 inch) Display
50MP (OIS) + 8MP | 20MP Front Camera
5000 mAh Battery
8s Gen3 Processor
1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories"
"Motorola G34 5G (Ocean Green, 128 GB)","₹11,999
₹14,99920% off","8 GB RAM | 128 GB ROM
16.51 cm (6.5 inch) HD+ Display
50MP + 2MP | 16MP Front Camera
5000 mAh Battery
Snapdragon 695 5G Processor
Vegan Leather Design
1 Year on Handset and 6 Months on Accessories","8 GB RAM | 128 GB ROM
16.51 cm (6.5 inch) HD+ Display
50MP + 2MP | 16MP Front Camera
5000 mAh Battery
Snapdragon 695 5G Processor
Vegan Leather Design
1 Year on Handset and 6 Months on Accessories"
"Motorola G34 5G (Charcoal Black, 128 GB)","₹11,999
₹14,99920% off","8 GB RAM | 128 GB ROM
16.51 cm (6.5 inch) HD+ Display
50MP + 2MP | 16MP Front Camera
5000 mAh Battery
Snapdragon 695 5G Processor
1 Year on Handset and 6 Months on Accessories","8 GB RAM | 128 GB ROM
16.51 cm (6.5 inch) HD+ Display
50MP + 2MP | 16MP Front Camera
5000 mAh Battery
Snapdragon 695 5G Processor
1 Year on Handset and 6 Months on Accessories"
"POCO M6 Pro 5G (Power Black, 128 GB)","₹9,999
₹16,99941% off","6 GB RAM | 128 GB ROM | Expandable Upto 1 TB
17.25 cm (6.79 inch) Full HD+ Display
50MP + 2MP | 8MP Front Camera
5000 mAh Battery
Snapdragon 4 Gen 2 Processor
1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories","6 GB RAM | 128 GB ROM | Expandable Upto 1 TB
17.25 cm (6.79 inch) Full HD+ Display
50MP + 2MP | 8MP Front Camera
5000 mAh Battery
Snapdragon 4 Gen 2 Processor
1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories"
"POCO M6 Pro 5G (Forest Green, 128 GB)","₹9,999
₹16,99941% off","6 GB RAM | 128 GB ROM | Expandable Upto 1 TB
17.25 cm (6.79 inch) Full HD+ Display
50MP + 2MP | 8MP Front Camera
5000 mAh Battery
Snapdragon 4 Gen 2 Processor
1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories","6 GB RAM | 128 GB ROM | Expandable Upto 1 TB
17.25 cm (6.79 inch) Full HD+ Display
50MP + 2MP | 8MP Front Camera
5000 mAh Battery
Snapdragon 4 Gen 2 Processor
1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories"
"POCO F6 5G (Black, 256 GB)","₹29,999
₹33,99911% off","8 GB RAM | 256 GB ROM
16.94 cm (6.67 inch) Display
50MP (OIS) + 8MP | 20MP Front Camera
5000 mAh Battery
8s Gen3 Processor
1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories","8 GB RAM | 256 GB ROM
16.94 cm (6.67 inch) Display
50MP (OIS) + 8MP | 20MP Front Camera
5000 mAh Battery
8s Gen3 Processor
1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories"
"POCO F6 5G (Titanium, 512 GB)","₹33,999
₹37,99910% off","12 GB RAM | 512 GB ROM
16.94 cm (6.67 inch) Display
50MP (OIS) + 8MP | 20MP Front Camera
5000 mAh Battery
8s Gen3 Processor
1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories","12 GB RAM | 512 GB ROM
16.94 cm (6.67 inch) Display
50MP (OIS) + 8MP | 20MP Front Camera
5000 mAh Battery
8s Gen3 Processor
1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories"
"Motorola G34 5G (Ice Blue, 128 GB)","₹11,999
₹14,99920% off","8 GB RAM | 128 GB ROM
16.51 cm (6.5 inch) HD+ Display
50MP + 2MP | 16MP Front Camera
5000 mAh Battery
Snapdragon 695 5G Processor
1 Year on Handset and 6 Months on Accessories","8 GB RAM | 128 GB ROM
16.51 cm (6.5 inch) HD+ Display
50MP + 2MP | 16MP Front Camera
5000 mAh Battery
Snapdragon 695 5G Processor
1 Year on Handset and 6 Months on Accessories"
"POCO C65 (Pastel Green, 128 GB)","₹6,799
₹10,99938% off","4 GB RAM | 128 GB ROM | Expandable Upto 1 TB
17.12 cm (6.74 inch) HD+ Display
50MP + AI Lens + 2MP | 8MP Front Camera
5000 mAh Battery
Helio G85 Processor
1 Year Manufacturer Warranty for Phone and 6 Months Warranty for in the Box Accessories","4 GB RAM | 128 GB ROM | Expandable Upto 1 TB
17.12 cm (6.74 inch) HD+ Display
50MP + AI Lens + 2MP | 8MP Front Camera
5000 mAh Battery
Helio G85 Processor
1 Year Manufacturer Warranty for Phone and 6 Months Warranty for in the Box Accessories"
